"specimen","speedBL","alpha"
"3BL","se","39.3909431872614"
"4BL","se","24.9852339360664"
"4BL","se","25.1138131259484"
"4BL","se","25.1397572781331"
"4BL","se","25.1115638962607"
"4BL","se","25.0572639443847"
"4BL","se","25.0418218144245"
"4BL","se","25.2290488842346"
"4BL","se","25.3359480116269"
"4BL","se","25.4628722647785"
"4BL","se","25.57022669377"
"4BL","se","25.6642464475938"
"4BL","se","25.7671572346345"
"4BL","se","25.7785984742383"
"4BL","se","25.7546323405355"
"4BL","se","25.5714391838352"
"4BL","se","25.4313641443506"
"4BL","se","25.3640628783816"
"4BL","se","25.2712617169475"
"4BL","se","25.3180101376525"
"4BL","se","25.2570525439877"
"4BL","se","25.157210281952"
"4BL","se","25.0496255991266"
"4BL","se","25.0586389450273"
"4BL","se","24.9961284251969"
"4BL","se","24.8732554118968"
"4BL","se","24.8469140183222"
"4BL","se","24.6867389246297"
"4BL","se","24.6275444798333"
"4BL","se","24.5409432242134"
"4BL","se","24.5662537592335"
"4BL","se","24.5918406107041"
"4BL","se","24.7001205255533"
"4BL","se","24.9498391888394"
"4BL","se","25.035903919511"
"4BL","se","25.14762832916"
"4BL","se","25.1239990984831"
"4BL","se","25.3035868093404"
"4BL","se","25.3438166048918"
"5BL","se","22.2866516159499"
"5BL","se","21.7156899977257"
"5BL","se","21.1570540097685"
"5BL","se","20.618619650875"
"5BL","se","20.1598381586659"
"5BL","se","19.6972652391889"
"5BL","se","19.331112781908"
"5BL","se","18.6805769780724"
"5BL","se","18.3768274677535"
"5BL","se","18.1191058096251"
"5BL","se","17.821434195879"
"5BL","se","17.5467533676476"
"5BL","se","17.4968469490882"
"5BL","se","17.4814938271354"
"5BL","se","17.420697461419"
"5BL","se","17.6925091042691"
"5BL","se","17.8461723407598"
"5BL","se","17.9155959663953"
"5BL","se","18.0010498707877"
"5BL","se","18.1487936807575"
"5BL","se","18.1618153240014"
"5BL","se","18.0967563118703"
"5BL","se","18.0808998440883"
"5BL","se","18.1060229138306"
"5BL","se","18.1682933765758"
"0.5BL","se","42.8687906078786"
"0.5BL","se","43.1361515480503"
"0.5BL","se","43.2174809785528"
"0.5BL","se","43.1669262192183"
"0.5BL","se","43.2671970955587"
"0.5BL","se","43.3887371796936"
"0.5BL","se","43.5708727869524"
"0.5BL","se","43.7053759306826"
"0.5BL","se","43.8500095745735"
"0.5BL","se","44.0194123763307"
"0.5BL","se","43.9986157395687"
"0.5BL","se","44.1635541289083"
"0.5BL","se","44.0906372028157"
